,impulse,maximum
0,672.9011025,908.8618774
1,305.3448963,777.4312134
2,275.4656479,817.4810181
3,444.0987196,1086.582764
4,493.0315031,962.3173828
5,451.3480541,969.2570801
6,579.496429,1076.626099
7,499.4421047,1016.191284
8,458.9375292,947.6274414
9,544.7368658,1041.158447
10,641.1292969,972.7462769
11,440.8985875,1073.588867
12,654.8381459,1084.171509
13,493.3645513,957.6199341
14,325.6034628,922.1994629
15,487.9420745,1047.043335
16,630.2726652,979.4398804
17,652.0135542,945.581543
18,293.8104281,773.0887451
19,642.4952395,1246.554932
20,665.4893844,953.6002808
21,562.819681,1009.191406
22,454.98916,888.4276733
23,480.4020143,920.7959595
24,647.7387757,1047.214233
25,490.6166578,1021.067444
26,232.5579925,521.8581543
27,493.145171,1034.916992
28,328.6771078,816.1722412
29,625.9232318,1099.542114
30,616.1242953,1125.421875
31,571.7197297,977.4585571
32,579.4933152,1014.220825
33,474.9244847,894.0635376
34,583.6842843,1220.400513
35,553.0678592,1085.79541
36,667.1689908,1185.50061
37,571.1545766,1083.171509
38,540.0044433,1177.424927
39,421.3054024,861.8519287
40,549.931996,1165.002686
41,618.8150401,1120.988281
42,343.9783877,879.7275391
43,626.1219097,1244.463867
44,502.4002869,1104.168335
45,538.0509653,1190.276367
46,454.387595,877.5090332
47,587.0452174,1175.66748
48,655.0424233,1035.714966
49,423.5398329,1049.256226
50,796.2488634,1225.807495
51,562.0983256,1118.246094
52,549.7570655,960.7492676
53,563.3562883,1125.637207
54,582.3282876,1045.678345
55,593.4113046,940.0869141
56,593.4888701,978.5808716
57,588.646238,1045.589844
58,556.6623473,1180.5
59,581.6729286,1026.368286
60,583.5154743,1063.950195
61,458.3105491,913.244873
62,502.7973864,999.8059082
63,497.2767417,974.4368896
64,530.6688637,1070.910645
65,628.7766781,973.2626953
66,571.7797166,1168.828979
67,564.1420567,992.715332
68,564.9451887,914.847229
69,565.4496489,1043.735107
70,567.5423048,1018.871521
71,506.7544544,1090.458984
72,512.3310661,1009.4151
73,612.7654265,923.9590454
74,587.5708901,1053.958252
75,619.5661942,949.8110962
76,624.7884967,1191.509155
77,542.9513783,1060.68396
78,527.6503673,938.0404663
79,459.04132,961.9723511
80,550.3635328,949.3894043
81,383.1826642,960.9891357
82,497.4689495,917.4176025
83,407.6679431,916.9407959
84,192.2382381,613.2120972
85,147.7892859,669.5480957
86,264.6237177,919.0918579
87,909.2633642,1315.018066
88,3869.055162,930.6604614
89,1256.091474,1413.621582
90,3097.552448,1208.698608
91,742.2098587,3673.516846
92,7253.08592,9773.492188
93,505.2575843,943.8595581
94,611.0682976,1060.749756
95,784.4808923,1089.729004
96,606.8555355,985.7139893
97,849.5259948,1386.984863
98,624.6108708,1031.322876
99,684.8660294,1152.165039
100,593.9364962,1018.245422
101,535.890285,1082.69812
102,734.8534828,872.7855835
103,254.6434614,2702.646484
104,660.9390676,1140.492676
105,647.3048155,1018.330505
106,1228.43975,1026.402466
107,533.5749752,981.2438354
108,536.1710242,1337.239746
109,712.7343072,880.1251221
110,1058.228307,1291.996704
111,562.6728473,8067.737793
112,655.3877764,3120.687256
